time,x,y,v,w,yaw
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,4.74937e-05,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,4.80102e-05,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
0.0,-4.5,0.0,0.0,0.0,0.0
