time,x,y,v,w,yaw
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,2.38753e-05,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,2.37327e-05,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,2.38538e-05,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,2.39112e-05,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,2.38299e-05,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,2.38705e-05,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,2.38705e-05,0.0,0.0
0.0,-4.0,0.0,2.37256e-05,0.0,0.0
0.0,-4.0,0.0,2.37824e-05,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,2.39665e-05,0.0,0.0
0.0,-4.0,0.0,2.37162e-05,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0
0.0,-3.9696,-4.96173e-10,0.17435900000000001,0.0,0.0
0.0,-3.91288,-1.3781e-09,0.42497100000000004,0.0,0.0
0.0,-3.84352,-2.63911e-09,0.6627270000000001,0.0,0.0
0.0,-3.76225,-3.52131e-09,0.887371,0.0,0.0
0.0,-3.70178,-4.40343e-09,1.03085,0.0,0.0
0.0,-3.6022,-7.41995e-05,1.2352200843343468,0.0,-0.00288314
0.0,-3.49438,-0.00196955,1.4172433968252032,0.0,-0.0319487
0.0,-3.41997,-0.00604789,1.5191616146779907,0.0,-0.0698683
0.0,-3.3065,-0.0193114,1.6421400059855553,0.0,-0.152487
0.0,-3.18875,-0.0445019,1.7551851043126478,0.0,-0.252663
0.0,-3.06476,-0.0846436,1.8827511377938404,0.0,-0.3545
0.0,-2.97878,-0.120359,1.9772431393442738,0.0,-0.416154
0.0,-2.846,-0.186452,2.1261472411147824,0.0,-0.490835
0.0,-2.71423,-0.262429,2.2478776295599365,0.0,-0.543283
0.0,-2.62864,-0.315888,2.3046792185874807,0.0,-0.566467
0.0,-2.50426,-0.397045,2.3539553515306957,0.0,-0.583951
0.0,-2.38477,-0.476047,2.361498667414403,0.0,-0.581967
0.0,-2.26979,-0.550032,2.3317790681151593,0.0,-0.562209
0.0,-2.21334,-0.584441,2.181518629624785,0.0,-0.542655
0.0,-2.1025,-0.648094,2.1647692001920205,0.0,-0.503961
0.0,-1.9937,-0.704072,2.1224827506719577,0.0,-0.453021
0.0,-1.92164,-0.737012,2.088351571054309,0.0,-0.413715
0.0,-1.81334,-0.779819,2.037355895815947,0.0,-0.348776
0.0,-1.70398,-0.814608,1.992056041161744,0.0,-0.278241
0.0,-1.59278,-0.841249,1.9579302081854195,0.0,-0.203988
0.0,-1.51735,-0.854367,1.9420879148483468,0.0,-0.153118
0.0,-1.40197,-0.866916,1.9299611666082817,0.0,-0.0765183
0.0,-1.28382,-0.870717,1.9335668392377854,0.0,-0.00088495
0.0,-1.16317,-0.865953,1.949330392617937,0.0,0.0656225
0.0,-1.08218,-0.859076,1.9622013714081439,0.0,0.0948005
0.0,-0.961156,-0.845819,1.9775542551028387,0.0,0.11644
0.0,-0.840982,-0.831412,1.9867086244550307,0.0,0.119633
0.0,-0.721306,-0.817402,1.9923858527717466,0.0,0.113777
0.0,-0.641553,-0.808528,1.9951958247502926,0.0,0.109126
0.0,-0.521695,-0.795657,1.9993434920915916,0.0,0.106364
0.0,-0.401359,-0.782436,2.0050000499999996,0.0,0.112995
0.0,-0.32075,-0.772743,2.0109294195361507,0.0,0.124277
0.0,-0.198974,-0.755597,2.023155423175392,0.0,0.152746
0.0,-0.0757023,-0.733619,2.042869363795933,0.0,0.194918
0.0,0.049674,-0.704789,2.0731943839112144,0.0,0.249431
0.0,0.134706,-0.680749,2.103105207781104,0.0,0.291471
0.0,0.264657,-0.635996,2.159839991324589,0.0,0.360733
0.0,0.397444,-0.57927,2.2325617623172263,0.0,0.434256
0.0,0.487324,-0.534137,2.291727372032066,0.0,0.483834
0.0,0.623575,-0.454902,2.391744552962335,0.0,0.556496
0.0,0.760287,-0.362069,2.499402547009985,0.0,0.623215
0.0,0.893639,-0.26005,2.5855748970393413,0.0,0.672116
0.0,0.980567,-0.188661,2.633137247315453,0.0,0.696256
0.0,1.10855,-0.0780532,2.686769608656462,0.0,0.723192
0.0,1.23429,0.0355277,2.7262981005018507,0.0,0.741998
0.0,1.31716,0.112408,2.748205407261255,0.0,0.751261
0.0,1.44039,0.228965,2.772235543257463,0.0,0.761584
0.0,1.56267,0.346582,2.788949272342543,0.0,0.768786
0.0,1.68427,0.464931,2.79962564342092,0.0,0.773811
0.0,1.76506,0.544121,2.806950359838948,0.0,0.776284
0.0,1.88594,0.66322,2.8135760383184953,0.0,0.779041
0.0,1.98644,0.762707,2.671989507239877,0.0,0.780964
0.0,2.06675,0.842398,2.7077526729374677,0.0,0.781911
0.0,2.18709,0.962054,2.7464925699881295,0.0,0.782965
0.0,2.28728,1.06186,2.6356808599676858,0.0,0.783701
0.0,2.40744,1.18169,2.6963048189883874,0.0,0.784214
0.0,2.48752,1.26161,2.727998417924761,0.0,0.784467
0.0,2.58759,1.36154,2.632047994186276,0.0,0.784749
0.0,2.69791,1.47387,2.625424254877676,0.0,0.808363
0.0,2.7595,1.54143,2.546257906752574,0.0,0.847398
0.0,2.83591,1.63637,2.375061575391257,0.0,0.930581
0.0,2.89583,1.72776,2.1888064079995746,0.0,1.03695
0.0,2.94164,1.81965,2.0224530091203605,0.0,1.16217
0.0,2.96493,1.88318,1.9338857667659692,0.0,1.25425
0.0,2.98877,1.98467,1.8468515103713672,0.0,1.40151
0.0,2.99767,2.09609,1.8212512476273008,0.0,1.55334
0.0,2.99405,2.17637,1.8380152376248136,0.0,1.65256
0.0,2.97351,2.30078,1.8844093455817925,0.0,1.79235
0.0,2.94112,2.40575,1.8308786400348875,0.0,1.92841
0.0,2.90061,2.49247,1.7220470539285504,0.0,2.0673
0.0,2.86997,2.54179,1.6373332549655246,0.0,2.16333
0.0,2.81918,2.60471,1.5104145815636183,0.0,2.31439
0.0,2.76283,2.6556,1.396469375803136,0.0,2.47543
0.0,2.72211,2.68321,1.3320504050616853,0.0,2.58883
0.0,2.65808,2.71413,1.245641117796374,0.0,2.76746
0.0,2.59292,2.73187,1.1665204712652926,0.0,2.95555
0.0,2.52763,2.73657,1.0991081566224499,0.0,-3.13026
0.0,2.48394,2.73233,1.0675749715856024,0.0,-2.99343
0.0,2.41776,2.71386,1.0454052983776196,0.0,-2.7828
0.0,2.35461,2.68129,1.042903691929418,0.0,-2.58359
0.0,2.31573,2.65245,1.048815642278947,0.0,-2.45585
0.0,2.26315,2.59871,1.0715964829972147,0.0,-2.26788
0.0,2.21874,2.53194,1.1153688703675568,0.0,-2.08092
0.0,2.18452,2.45082,1.1879050617742986,0.0,-1.89326
0.0,2.16892,2.388,1.2557369355482062,0.0,-1.76791
0.0,2.16035,2.29889,1.2797608663609776,0.0,-1.58211
